Item,Qty,Reference(s),P_Value,Value,Manufacturer,P_Digikey,,Package
1,2,"C301, C302",1uF,CL10A105KB8NNNC,Samsung Electro-Mechanics,,,603
2,2,"C303, C304",10uF,CL10X106MO8NRNC,Samsung Electro-Mechanics,,,603
3,2,"C305, C308",0.1uF,CL10B104KB8NNNC,Samsung Electro-Mechanics,,,603
4,2,"C306, C307",330pF,C0603C331J5GACTU,KEMET,,,603
6,2,"P302, P303",2POS,AMASS_XT60PW_F,AMASS,,,TH
7,2,"P304, P305",2POS,AMASS_XT60PW_M,AMASS,,,TH
8,2,"Q301, Q302",NMOS,PSMNR70-40SSHJ,Nexperia USA Inc.,1727-8560-1-ND,,SOT-1235
,,alternative parts,,BUK7S1R2-40HJ,Nexperia USA Inc.,1727-BUK7S1R2-40HJCT-ND,,SOT-1235
,,,,BUK7S2R0-40HJ,Nexperia USA Inc.,1727-BUK7S2R0-40HJCT-ND,,SOT-1235
9,4,"R301, R302, R307, R308",470R,RC0603FR-07470RL,Yageo,311-470HRCT-ND ,,603
10,2,"R303, R306",300k,RMCF0603FT300K,Stackpole Electronics Inc.,RMCF0603FT300KCT-ND,,603
11,2,"R304, R305",16R,RC0603FR-0716RL,Yageo,,,603
12,2,"U301, U302",12V,ZXTR2112F-7,Diodes Incorporated,,,SOT-23-3
13,2,"U303, U304",1-CH,MCP6V51T-E_OT,Microchip Technology,MCP6V51T-E/OT,,SOT-23-5
,,alternative parts,,OPA187IDBVR,,296-53156-1-ND,,SOT-23-5
,,,,AD8638ARJZ-REEL7,,505-AD8638ARJZ-REEL7CT-ND,,SOT-23-5
